"filename", "language", "JSON", "JavaScript", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\tlock.js", "JavaScript", 0, 53, 0, 0, 1, 6, 60
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\unban.js", "JavaScript", 0, 38, 0, 0, 1, 4, 43
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\unlock.js", "JavaScript", 0, 23, 0, 0, 1, 4, 28
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\unmute.js", "JavaScript", 0, 49, 0, 0, 3, 14, 66
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\warn.js", "JavaScript", 0, 61, 0, 0, 1, 12, 74
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\warns.js", "JavaScript", 0, 40, 0, 0, 1, 9, 50
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\blacklist.js", "JavaScript", 0, 30, 0, 0, 1, 9, 40
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\eval.js", "JavaScript", 0, 28, 0, 0, 1, 3, 32
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\gay.js", "JavaScript", 0, 27, 0, 0, 1, 4, 32
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\getinvite.js", "JavaScript", 0, 40, 0, 0, 1, 1, 42
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\leave.js", "JavaScript", 0, 21, 0, 0, 1, 3, 25
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\reload.js", "JavaScript", 0, 38, 0, 0, 1, 9, 48
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\test.js", "JavaScript", 0, 16, 0, 0, 2, 3, 21
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\updatecount.js", "JavaScript", 0, 31, 0, 0, 1, 3, 35
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\whitelist.js", "JavaScript", 0, 27, 0, 0, 2, 8, 37
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\utility\addemoji.js", "JavaScript", 0, 28, 0, 0, 1, 5, 34
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\utility\afk.js", "JavaScript", 0, 17, 0, 0, 1, 4, 22
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\utility\muterole.js", "JavaScript", 0, 42, 0, 0, 1, 8, 51
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\utility\setautomeme.js", "JavaScript", 0, 66, 0, 0, 1, 4, 71
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\utility\setchat.js", "JavaScript", 0, 66, 0, 0, 1, 3, 70
"c:\Users\chord\Documents\GitHub\Nuggies\src\commands\utility\setprefix.js", "JavaScript", 0, 20, 0, 0, 1, 8, 29
"c:\Users\chord\Documents\GitHub\Nuggies\src\events\guildCreate.js", "JavaScript", 0, 9, 0, 0, 0, 1, 10
"c:\Users\chord\Documents\GitHub\Nuggies\src\events\guildDelete.js", "JavaScript", 0, 10, 0, 0, 0, 1, 11
"c:\Users\chord\Documents\GitHub\Nuggies\src\events\message.js", "JavaScript", 0, 113, 0, 0, 18, 36, 167
"c:\Users\chord\Documents\GitHub\Nuggies\src\events\messageDelete.js", "JavaScript", 0, 20, 0, 0, 0, 0, 20
"c:\Users\chord\Documents\GitHub\Nuggies\src\events\messageUpdate.js", "JavaScript", 0, 24, 0, 0, 0, 0, 24
"c:\Users\chord\Documents\GitHub\Nuggies\src\events\ready.js", "JavaScript", 0, 6, 0, 0, 1, 2, 9
"c:\Users\chord\Documents\GitHub\Nuggies\utils\ExtendedMessage.js", "JavaScript", 0, 20, 0, 0, 4, 6, 30
"c:\Users\chord\Documents\GitHub\Nuggies\utils\config.json", "JSON", 27, 0, 0, 0, 0, 0, 27
"c:\Users\chord\Documents\GitHub\Nuggies\utils\economy.js", "JavaScript", 0, 34, 0, 0, 12, 1, 47
"c:\Users\chord\Documents\GitHub\Nuggies\utils\utils.js", "JavaScript", 0, 39, 0, 0, 0, 7, 46
"Total", "-", 6000, 6064, 3, 16, 271, 632, 12986
