Date : 2021-03-01 14:22:51
Directory : c:\Users\chord\Documents\GitHub\Nuggies
Total : 161 files,  12083 codes, 271 comments, 632 blanks, all 12986 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\esnipe.js         | JavaScript |         34 |          1 |          3 |         38 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\nickname.js       | JavaScript |         39 |          1 |          4 |         44 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\remindme.js       | JavaScript |         49 |          1 |          4 |         54 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\reverse.js        | JavaScript |         27 |          1 |          4 |         32 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\rps.js            | JavaScript |         50 |          1 |          6 |         57 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\say.js            | JavaScript |         21 |          1 |          3 |         25 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\snipe.js          | JavaScript |         33 |          1 |          3 |         37 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\suggest.js        | JavaScript |         28 |          1 |          3 |         32 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\misc\vote.js           | JavaScript |         22 |          1 |          3 |         26 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\addrole.js         | JavaScript |         37 |          1 |          2 |         40 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\ban.js             | JavaScript |         55 |          2 |          5 |         62 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\clear.js           | JavaScript |         37 |          1 |          4 |         42 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\clearwarn.js       | JavaScript |         49 |          1 |         10 |         60 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\kick.js            | JavaScript |         42 |          1 |          9 |         52 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\lock.js            | JavaScript |         23 |          1 |          5 |         29 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\mute.js            | JavaScript |         89 |          4 |         20 |        113 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\nuke.js            | JavaScript |         28 |          1 |          5 |         34 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\selfmute.js        | JavaScript |         41 |          1 |          6 |         48 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\slowmode.js        | JavaScript |         26 |          1 |          5 |         32 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\tlock.js           | JavaScript |         53 |          1 |          6 |         60 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\unban.js           | JavaScript |         38 |          1 |          4 |         43 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\unlock.js          | JavaScript |         23 |          1 |          4 |         28 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\unmute.js          | JavaScript |         49 |          3 |         14 |         66 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\warn.js            | JavaScript |         61 |          1 |         12 |         74 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\mod\warns.js           | JavaScript |         40 |          1 |          9 |         50 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\blacklist.js     | JavaScript |         30 |          1 |          9 |         40 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\eval.js          | JavaScript |         28 |          1 |          3 |         32 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\gay.js           | JavaScript |         27 |          1 |          4 |         32 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\getinvite.js     | JavaScript |         40 |          1 |          1 |         42 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\leave.js         | JavaScript |         21 |          1 |          3 |         25 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\reload.js        | JavaScript |         38 |          1 |          9 |         48 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\test.js          | JavaScript |         16 |          2 |          3 |         21 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\updatecount.js   | JavaScript |         31 |          1 |          3 |         35 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\owner\whitelist.js     | JavaScript |         27 |          2 |          8 |         37 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\utility\addemoji.js    | JavaScript |         28 |          1 |          5 |         34 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\utility\afk.js         | JavaScript |         17 |          1 |          4 |         22 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\utility\muterole.js    | JavaScript |         42 |          1 |          8 |         51 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\utility\setautomeme.js | JavaScript |         66 |          1 |          4 |         71 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\utility\setchat.js     | JavaScript |         66 |          1 |          3 |         70 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\commands\utility\setprefix.js   | JavaScript |         20 |          1 |          8 |         29 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\events\guildCreate.js           | JavaScript |          9 |          0 |          1 |         10 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\events\guildDelete.js           | JavaScript |         10 |          0 |          1 |         11 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\events\message.js               | JavaScript |        113 |         18 |         36 |        167 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\events\messageDelete.js         | JavaScript |         20 |          0 |          0 |         20 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\events\messageUpdate.js         | JavaScript |         24 |          0 |          0 |         24 |
| c:\Users\chord\Documents\GitHub\Nuggies\src\events\ready.js                 | JavaScript |          6 |          1 |          2 |          9 |
| c:\Users\chord\Documents\GitHub\Nuggies\utils\ExtendedMessage.js            | JavaScript |         20 |          4 |          6 |         30 |
| c:\Users\chord\Documents\GitHub\Nuggies\utils\config.json                   | JSON       |         27 |          0 |          0 |         27 |
| c:\Users\chord\Documents\GitHub\Nuggies\utils\economy.js                    | JavaScript |         34 |         12 |          1 |         47 |
| c:\Users\chord\Documents\GitHub\Nuggies\utils\utils.js                      | JavaScript |         39 |          0 |          7 |         46 |
| Total                                                                       |            |     12,083 |        271 |        632 |     12,986 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
